year,Base case cost,Modeled residential energy efficiency
2017,1358846.50272,1270788.17347
2018,1427410.6802,1327412.69521
2019,1501133.99057,1386067.15268
2020,1543160.10384,1420018.8442
2021,1570273.72531,1441286.81413
2022,1609791.39228,1475796.8756
2023,1624875.51132,1486908.92942
2024,1635845.77972,1494544.61835
2025,1650929.89876,1505739.51625
2026,1667385.30136,1518147.14517
2027,1682469.4204,1529421.04949
2028,1694810.97235,1538387.5549
2029,1709895.09139,1549736.80559
2030,1719494.07624,1556431.37274
2031,1737320.76238,1570197.99798
