year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9068.01513687,5894.20983897
2018,9106.9698526,5919.53040419
2019,9143.26316661,5943.12105829
2020,9174.15809982,5963.20276489
2021,9204.31345488,5982.80374567
2022,9241.00894825,6006.65581636
2023,9264.40553056,6021.86359486
2024,9298.28306916,6043.88399496
2025,9331.0566389,6065.18681528
2026,9358.84480398,6083.24912258
2027,9381.93637777,6098.25864555
2028,9399.06004162,6109.38902705
2029,9438.7867258,6135.21137177
2030,9481.47172265,6162.95661972
2031,9508.16401643,6180.30661068
