year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,433966.898129,321135.504615
2018,433966.898129,321135.504615
2019,433966.898129,321135.504615
2020,433966.898129,321135.504615
2021,433966.898129,321135.504615
2022,433966.898129,321135.504615
2023,433966.898129,321135.504615
2024,433966.898129,321135.504615
2025,433966.898129,321135.504615
2026,433966.898129,321135.504615
2027,433966.898129,321135.504615
2028,433966.898129,321135.504615
2029,433966.898129,321135.504615
2030,433966.898129,321135.504615
2031,433966.898129,321135.504615
