year,Base case cost,Modeled water and wastewater efficiency
2017,47470.3318363,84110.0540631
2018,50553.6991019,84909.4436432
2019,54761.4375796,86467.6043966
2020,56883.5128815,86696.8668653
2021,58415.5729584,86569.5718685
2022,59638.7724409,86269.1158938
2023,60531.8861403,85777.5923974
2024,61340.4234485,85258.1607475
2025,62239.1421761,84821.7842342
2026,63333.4370382,84535.7092551
2027,64203.6720862,84126.6594767
2028,64913.6925036,83635.3600633
2029,66039.1653562,83440.4834456
2030,66813.614095,83039.8387237
2031,67915.5666455,82870.6222265
