year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,807670.0,694584.603232
2018,812205.0,699119.603232
2019,815612.0,702526.603232
2020,819015.0,705929.603232
2021,822417.0,709331.603232
2022,825826.0,712740.603232
2023,829220.0,716134.603232
2024,832626.0,719540.603232
2025,836031.0,722945.603232
2026,838307.0,725221.603232
2027,841701.0,728615.603232
2028,842842.0,729756.603232
2029,847378.0,734292.603232
2030,851916.0,738830.603232
2031,855314.0,742228.603232
2032,855319.0,742233.603232
2033,855323.0,742237.603232
2034,856448.0,743362.603232
2035,856450.0,743364.603232
2036,856458.0,743372.603232
