year,Base case cost,Modeled non-residential energy efficiency
2017,4561644.15809,4164360.04802
2018,4698777.6979,4292309.95562
2019,4888855.19928,4473419.06619
2020,4980422.21479,4556227.88752
2021,5043781.38191,4611034.13067
2022,5090215.84001,4649116.12395
2023,5124933.19186,4675676.77186
2024,5152273.10645,4695051.15521
2025,5183952.69001,4718951.89973
2026,5226047.47913,4753450.16637
2027,5259028.96339,4779013.17158
2028,5286368.87797,4799108.47777
2029,5325425.8988,4831090.68567
2030,5347124.24371,4845880.03363
2031,5388785.06593,4880793.78848
