year,Base case diesel consumed,Modeled residential energy efficiency
2017,364634.982548,270346.212409
2018,369130.638675,274841.868536
2019,372502.38077,278213.610631
2020,375874.122865,281585.352726
2021,379245.86496,284957.094821
2022,382617.607055,288328.836916
2023,385989.349151,291700.579011
2024,389361.091246,295072.321106
2025,392732.833341,298444.063201
2026,394980.661404,300691.891265
2027,398352.403499,304063.63336
2028,399476.317531,305187.547392
2029,403971.973658,309683.203518
2030,408467.629785,314178.859645
2031,411839.37188,317550.60174
2032,411839.37188,317550.60174
2033,411839.37188,317550.60174
2034,412963.285912,318674.515772
2035,412963.285912,318674.515772
2036,412963.285912,318674.515772
