year,annotation,Average Load
2003,,13990.0
2004,,14670.0
2005,,14938.0
2006,,15563.0
2007,,15770.0
2008,,15556.0
2009,,15367.0
2010,,15877.0
2011,,16207.0
2012,,16506.0
2013,,16344.0
2014,,16786.0
2015,start of forecast,16425.0
2016,,16422.0
2017,,16418.0
2018,,16414.0
2019,,16411.0
2020,,16408.0
2021,,16405.0
2022,,16401.0
2023,,16399.0
2024,,16395.0
2025,,16392.0
2026,,16389.0
2027,,16387.0
2028,,16385.0
2029,,16382.0
2030,,16377.0
2031,,16375.0
2032,,16374.0
2033,,16374.0
2034,,16374.0
2035,,16373.0
2036,,16373.0
2037,,16372.0
2038,,16372.0
2039,,16373.0
2040,,16375.0
