year,Base case diesel consumed,Modeled non-residential ashp
2017,5662.62181276,-6618.02561856
2018,5662.62181276,-6618.02561856
2019,5662.62181276,-6618.02561856
2020,5662.62181276,-6618.02561856
2021,5662.62181276,-6618.02561856
2022,5662.62181276,-6618.02561856
2023,5662.62181276,-6618.02561856
2024,5662.62181276,-6618.02561856
2025,5662.62181276,-6618.02561856
2026,5662.62181276,-6618.02561856
2027,5662.62181276,-6618.02561856
2028,5662.62181276,-6618.02561856
2029,5662.62181276,-6618.02561856
2030,5662.62181276,-6618.02561856
2031,5662.62181276,-6618.02561856
