year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,,4.5
2006,,,6.3
2008,,,6.3
2009,,4.19,6.3
2010,,4.62,6.3
2011,,5.14,6.3
2012,,5.95,6.75
2013,,5.76,6.62
2014,,,3.5
2016,start of forecast,3.46,5.01
2017,,3.94,5.49
2018,,4.29,5.84
2019,,4.75,6.3
2020,,4.97,6.52
2021,,5.11,6.66
2022,,5.22,6.77
2023,,5.29,6.84
2024,,5.35,6.9
2025,,5.43,6.98
2026,,5.51,7.06
2027,,5.59,7.14
2028,,5.65,7.2
2029,,5.73,7.28
2030,,5.78,7.33
2031,,5.87,7.42
2032,,5.95,7.5
2033,,6.04,7.59
2034,,6.14,7.69
2035,,6.19,7.74
2036,,6.29,7.84
2037,,6.34,7.89
2038,,6.43,7.98
2039,,6.5,8.05
2040,,6.6,8.15
