year,Base case cost,Modeled transmission and interties
2021,307956.004889,
2022,314585.194818,
2023,318803.770228,
2024,322419.692007,
2025,326264.082477,
2026,331070.919787,
2027,335877.757098,
2028,339482.885081,
2029,344289.722392,
2030,346254.193329,
2031,351645.694609,
2032,356438.140192,
2033,361829.641472,
2034,367820.19845,
2035,369701.916948,
2036,375674.484266,
2037,378660.767924,
2038,384036.07851,
2039,388216.875632,
2040,394189.44295,
