year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,167335.0,124376.76012
2018,167335.0,124376.76012
2019,167335.0,124376.76012
2020,167335.0,124376.76012
2021,167335.0,124376.76012
2022,167335.0,124376.76012
2023,167335.0,124376.76012
2024,167335.0,124376.76012
2025,167335.0,124376.76012
2026,167335.0,124376.76012
2027,167335.0,124376.76012
2028,167335.0,124376.76012
2029,167335.0,124376.76012
2030,167335.0,124376.76012
2031,167335.0,124376.76012
2032,,
2033,,
2034,,
2035,,
2036,,
