year,Base case cost,Modeled biomass for heat (cordwood)
2017,894355.65748,1016522.44399
2018,946229.50748,1055079.23963
2019,1016510.20748,1107317.47888
2020,1049977.20748,1132192.8309
2021,1073404.10748,1149605.57732
2022,1090137.60748,1162043.25333
2023,1101851.05748,1170749.62654
2024,1111891.15748,1178212.23215
2025,1123604.60748,1186918.60535
2026,1138664.75748,1198112.51376
2027,1150378.20748,1206818.88697
2028,1160418.30748,1214281.49258
2029,1173805.10748,1224231.63339
2030,1182171.85748,1230450.4714
2031,1195558.65748,1240400.61221
2032,,
2033,,
2034,,
2035,,
2036,,
