year,Base case diesel consumed,Modeled solar power
2020,693014.191615,683239.072175
2021,691429.393471,681732.474987
2022,689844.595328,680225.252192
2023,688184.330606,678641.942215
2024,686297.66615,676831.616866
2025,684561.93485,675171.61396
2026,682826.20355,673511.005227
2027,681015.005671,671774.328935
2028,679354.74095,670187.989628
2029,676864.343867,667770.926556
2030,674675.813098,665655.143125
2031,672638.215485,663689.710871
2032,670977.950763,662101.034187
2033,669619.552354,660813.651111
2034,668185.687367,659450.233334
2035,666525.422646,657859.852244
2036,664865.157924,656268.912086
2037,663053.960046,654526.484174
2038,661469.161902,653009.905838
2039,659733.430602,651341.848586
