year,Base case cost,Modeled biomass for heat (cordwood)
2017,5128859.03507,5871862.07722
2018,5577500.42889,6247645.8319
2019,6196617.04527,6772567.51615
2020,6488749.98016,7009845.80069
2021,6655053.36553,7136786.41205
2022,6784126.82579,7231144.77476
2023,6842370.18836,7263648.05538
2024,6894150.93737,7289987.2237
2025,6944440.72918,7315126.9401
2026,7031984.53408,7373470.66752
2027,7095701.03309,7410432.42757
2028,7146575.58566,7436991.0642
2029,7184867.14554,7449064.49292
2030,7199511.22998,7442084.03006
2031,7266492.79287,7481191.87334
2032,7337079.63468,7524151.91005
2033,7439162.95182,7596682.21201
2034,7533666.12076,7661867.84182
2035,7573285.07589,7678901.22751
2036,7658110.7959,7734863.93283
