year,Base case diesel consumed,Modeled diesel efficiency
2019,694749.922915,631590.839013
2020,693014.191615,630012.901468
2021,691429.393471,628572.175883
2022,689844.595328,627131.450298
2023,688184.330606,625622.118733
2024,686297.66615,623906.969227
2025,684561.93485,622329.031681
2026,682826.20355,620751.094136
2027,681015.005671,619104.55061
2028,679354.74095,617595.219045
2029,676864.343867,615331.221697
2030,674675.813098,613341.648271
2031,672638.215485,611489.286804
2032,670977.950763,609979.955239
2033,669619.552354,608745.047595
2034,668185.687367,607441.53397
2035,666525.422646,605932.202405
2036,664865.157924,604422.87084
2037,663053.960046,602776.327314
2038,661469.161902,601335.601729
