year,Base case cost,Modeled biomass for heat (pellet)
2017,5128859.03507,5531509.27648
2018,5577500.42889,5908688.57244
2019,6196617.04527,6432668.60056
2020,6488749.98016,6672740.55787
2021,6655053.36553,6803829.98732
2022,6784126.82579,6902612.44134
2023,6842370.18836,6940252.26168
2024,6894150.93737,6971577.10393
2025,6944440.72918,7001555.16429
2026,7031984.53408,7064159.89129
2027,7095701.03309,7105458.87995
2028,7146575.58566,7136434.26723
2029,7184867.14554,7152573.71711
2030,7199511.22998,7149961.88763
2031,7266492.79287,7192660.37471
2032,7337079.63468,7239086.26194
2033,7439162.95182,7314743.81219
2034,7533666.12076,7382937.67811
2035,7573285.07589,7403513.27841
2036,7658110.7959,7462254.49823
