year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,1779272.0,1540864.86797
2018,1769197.0,1530789.86797
2019,1759123.0,1520715.86797
2020,1747783.0,1509375.86797
2021,1736451.0,1498043.86797
2022,1725117.0,1486709.86797
2023,1713780.0,1475372.86797
2024,1701184.0,1462776.86797
2025,1688593.0,1450185.86797
2026,1677253.0,1438845.86797
2027,1664657.0,1426249.86797
2028,1653320.0,1414912.86797
2029,1635690.0,1397282.86797
2030,1620577.0,1382169.86797
2031,1606721.0,1368313.86797
2032,1594130.0,1355722.86797
2033,1585310.0,1346902.86797
2034,1575237.0,1336829.86797
2035,1563901.0,1325493.86797
2036,1552563.0,1314155.86797
