year,Base case cost,Modeled solar power
2020,1912719.16886,1984506.18119
2021,1991316.6532,2060082.34163
2022,2055736.89408,2121739.56339
2023,2092080.36504,2155763.18843
2024,2127522.76506,2188939.81719
2025,2163215.71412,2222419.87539
2026,2212356.8995,2269213.57889
2027,2254159.66877,2308814.8256
2028,2289425.477,2342021.7015
2029,2328413.3429,2378908.04868
2030,2354618.58771,2403240.92498
2031,2401318.42928,2447844.73355
2032,2449069.52028,2493547.87616
2033,2504377.12581,2546766.52865
2034,2559151.18262,2599499.08817
2035,2592783.89409,2631396.72285
2036,2646163.32854,2682824.50655
2037,2672107.45898,2707202.61566
2038,2725252.94704,2758481.84648
2039,2764283.07422,2795856.24377
