year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,15515849,8398479
2004,,0,0,0,0,16622683,7418138
2005,,0,0,0,0,19400702,6056449
2006,,0,0,0,0,13470088,11813931
2007,,0,0,0,0,16352635,11967286
2008,,0,0,0,0,14830533,10827607
2009,,0,0,0,0,15062381,10921141
2010,,0,0,0,0,17740374,9774568
2011,,0,0,0,0,18283558,10435782
2012,,0,0,0,0,17021008,11893863
2013,,0,0,0,0,19482939,9364225
2014,start of forecast,0,0,0,0,19482939,9279061
2015,,0,0,0,0,19482939,9265061
2016,,0,0,0,0,19482939,9254061
2017,,0,0,0,0,19482939,9243061
2018,,0,0,0,0,19482939,9224061
2019,,0,0,0,0,19482939,9206061
2020,,0,0,0,0,19482939,9183061
2021,,0,0,0,0,19482939,9162061
2022,,0,0,0,0,19482939,9141061
2023,,0,0,0,0,19482939,9119061
2024,,0,0,0,0,19482939,9094061
2025,,0,0,0,0,19482939,9071061
2026,,0,0,0,0,19482939,9048061
2027,,0,0,0,0,19482939,9024061
2028,,0,0,0,0,19482939,9002061
2029,,0,0,0,0,19482939,8969061
2030,,0,0,0,0,19482939,8940061
2031,,0,0,0,0,19482939,8913061
2032,,0,0,0,0,19482939,8891061
2033,,0,0,0,0,19482939,8873061
2034,,0,0,0,0,19482939,8854061
2035,,0,0,0,0,19482939,8832061
2036,,0,0,0,0,19482939,8810061
2037,,0,0,0,0,19482939,8786061
2038,,0,0,0,0,19482939,8765061
2039,,0,0,0,0,19482939,8742061
2040,,0,0,0,0,19482939,8719061
