year,Base case diesel consumed,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (mary's creek),"Flemming creek, knights island"
2018,696108.321323,,,,,,,,,,,,,,,,,494166.595278,,
2019,694749.922915,,,,,,,,,,,,,,,,,492808.196869,,
2020,693014.191615,,,,,,,,,,,,,,,,,491072.465569,,
2021,691429.393471,501027.194628,374092.3954,0.0,0.0,678348.70143,675732.563021,667884.147798,398671.588342,0.0,667254.083982,648560.049914,393189.614894,589661.609373,0.0,650348.67663,0.0,489487.667426,641722.76371,671808.355407
2022,689844.595328,499442.396485,372507.597257,-1584.79814344,-1584.79814344,676763.903287,674147.764877,666299.349655,397086.790198,-1584.79814344,665669.285838,646975.25177,391604.816751,588076.811229,-1584.79814344,648763.878487,-1584.79814344,487902.869282,640137.965567,670223.557263
2023,688184.330606,497782.131763,370847.332535,-3245.06286514,-3245.06286514,675103.638565,672487.500156,664639.084933,395426.525476,-3245.06286514,664009.021117,645314.987048,389944.552029,586416.546508,-3245.06286514,647103.613765,-3245.06286514,486242.604561,638477.700845,668563.292541
2024,686297.66615,495895.467307,368960.668078,-5131.72732162,-5131.72732162,673216.974108,670600.835699,662752.420477,393539.86102,-5131.72732162,662122.35666,643428.322592,388057.887573,584529.882051,-5131.72732162,645216.949308,-5131.72732162,484355.940104,636591.036389,666676.628085
2025,684561.93485,494159.736007,367224.936778,-6867.45862158,-6867.45862158,671481.242808,668865.104399,661016.689177,391804.12972,-6867.45862158,660386.62536,641692.591292,386322.156273,582794.150751,-6867.45862158,643481.218008,-6867.45862158,482620.208804,634855.305089,664940.896785
2026,682826.20355,492424.004707,365489.205478,-8603.18992154,-8603.18992154,669745.511509,667129.373099,659280.957877,390068.39842,-8603.18992154,658650.89406,639956.859992,384586.424973,581058.419451,-8603.18992154,641745.486708,-8603.18992154,480884.477504,633119.573789,663205.165485
2027,681015.005671,490612.806829,363678.0076,-10414.3877998,-10414.3877998,667934.31363,665318.175221,657469.759999,388257.200542,-10414.3877998,656839.696182,638145.662114,382775.227095,579247.221573,-10414.3877998,639934.28883,-10414.3877998,479073.279626,631308.375911,661393.967607
2028,679354.74095,488952.542107,362017.742879,-12074.6525215,-12074.6525215,666274.048909,663657.910499,655809.495277,386596.93582,-12074.6525215,655179.43146,636485.397392,381114.962373,577586.956851,-12074.6525215,638274.024109,-12074.6525215,477413.014904,629648.111189,659733.702885
2029,676864.343867,486462.145024,359527.345796,-14565.049604,-14565.049604,663783.651826,661167.513417,653319.098194,384106.538738,-14565.049604,652689.034378,633995.00031,378624.56529,575096.559769,-14565.049604,635783.627026,-14565.049604,474922.617822,627157.714106,657243.305803
2030,674675.813098,484273.614255,357338.815026,-16753.5803735,-16753.5803735,661595.121057,658978.982647,651130.567425,381918.007968,-16753.5803735,650500.503608,631806.46954,376436.034521,572908.028999,-16753.5803735,633595.096256,-16753.5803735,472734.087052,624969.183337,655054.775033
2031,672638.215485,482236.016642,355301.217413,-18791.1779865,-18791.1779865,659557.523444,656941.385034,649092.969812,379880.410355,-18791.1779865,648462.905995,629768.871927,374398.436908,570870.431386,-18791.1779865,631557.498643,-18791.1779865,470696.489439,622931.585724,653017.17742
2032,670977.950763,480575.75192,353640.952692,-20451.4427082,-20451.4427082,657897.258722,655281.120312,647432.70509,378220.145633,-20451.4427082,646802.641274,628108.607205,372738.172186,569210.166665,-20451.4427082,629897.233922,-20451.4427082,469036.224718,621271.321002,651356.912698
2033,669619.552354,479217.353512,352282.554283,-21809.8411169,-21809.8411169,656538.860313,653922.721904,646074.306681,376861.747225,-21809.8411169,645444.242865,626750.208797,371379.773777,567851.768256,-21809.8411169,628538.835513,-21809.8411169,467677.826309,619912.922593,649998.51429
2034,668185.687367,477783.488525,350848.689296,-23243.7061038,-23243.7061038,655104.995326,652488.856917,644640.441695,375427.882238,-23243.7061038,644010.377878,625316.34381,369945.90879,566417.903269,-23243.7061038,627104.970526,-23243.7061038,466243.961322,618479.057606,648564.649303
2035,666525.422646,476123.223803,349188.424575,-24903.9708255,-24903.9708255,653444.730605,650828.592195,642980.176973,373767.617516,-24903.9708255,642350.113156,623656.079088,368285.644069,564757.638547,-24903.9708255,625444.705804,-24903.9708255,464583.6966,616818.792885,646904.384581
2036,664865.157924,474462.959081,347528.159853,-26564.2355472,-26564.2355472,651784.465883,649168.327473,641319.912251,372107.352794,-26564.2355472,640689.848435,621995.814366,366625.379347,563097.373826,-26564.2355472,623784.441083,-26564.2355472,462923.431879,615158.528163,645244.119859
2037,663053.960046,472651.761203,345716.961975,-28375.4334254,-28375.4334254,649973.268005,647357.129595,639508.714373,370296.154916,-28375.4334254,638878.650556,620184.616488,364814.181469,561286.175947,-28375.4334254,621973.243205,-28375.4334254,461112.234,613347.330285,643432.921981
2038,661469.161902,471066.96306,344132.163831,-29960.2315689,-29960.2315689,648388.469861,645772.331452,637923.916229,368711.356773,-29960.2315689,637293.852413,618599.818345,363229.383325,559701.377804,-29960.2315689,620388.445061,-29960.2315689,459527.435857,611762.532141,641848.123838
2039,659733.430602,469331.23176,342396.432531,-31695.9628688,-31695.9628688,646652.738561,644036.600152,636188.184929,366975.625473,-31695.9628688,635558.121113,616864.087045,361493.652025,557965.646504,-31695.9628688,618652.713761,-31695.9628688,457791.704557,610026.800841,640112.392538
2040,657997.699302,467595.50046,340660.701231,-33431.6941688,-33431.6941688,644917.007261,642300.868852,634452.45363,365239.894173,-33431.6941688,633822.389813,615128.355745,359757.920726,556229.915204,-33431.6941688,616916.982461,-33431.6941688,456055.973257,608291.069542,638376.661238
2041,656714.767472,466312.568629,339377.769401,-34714.6259992,-34714.6259992,643634.075431,641017.937021,633169.521799,363956.962342,-34714.6259992,632539.457983,613845.423914,358474.988895,554946.983374,-34714.6259992,615634.050631,-34714.6259992,454773.041427,607008.137711,637093.729407
2042,655356.369063,464954.170221,338019.370992,-36073.0244079,-36073.0244079,642275.677022,639659.538613,631811.12339,362598.563934,-36073.0244079,631181.059574,612487.025506,357116.590486,553588.584965,-36073.0244079,614275.652222,-36073.0244079,453414.643018,605649.739302,635735.330999
2043,654073.437233,463671.23839,336736.439162,-37355.9562383,-37355.9562383,640992.745192,638376.606782,630528.19156,361315.632103,-37355.9562383,629898.127744,611204.093675,355833.658656,552305.653135,-37355.9562383,612992.720392,-37355.9562383,452131.711188,604366.807472,634452.399168
2044,652715.038824,462312.839982,335378.040753,-38714.3546469,-38714.3546469,639634.346783,637018.208374,629169.793151,359957.233695,-38714.3546469,628539.729335,609845.695267,354475.260247,550947.254726,-38714.3546469,611634.321983,-38714.3546469,450773.312779,603008.409063,633094.00076
2045,651507.573572,461105.374729,334170.575501,-39921.8198991,-39921.8198991,638426.881531,635810.743122,627962.327899,358749.768442,-39921.8198991,627332.264083,608638.230015,353267.794995,549739.789474,-39921.8198991,610426.856731,-39921.8198991,449565.847527,601800.943811,631886.535508
2046,650375.574898,459973.376056,333038.576827,-41053.818573,-41053.818573,637294.882857,634678.744448,626830.329225,357617.769769,-41053.818573,626200.265409,607506.231341,352135.796321,548607.7908,-41053.818573,609294.858057,-41053.818573,448433.848853,600668.945137,630754.536834
2047,649319.042803,458916.84396,331982.044731,-42110.3506686,-42110.3506686,636238.350761,633622.212352,625773.79713,356561.237673,-42110.3506686,625143.733313,606449.699245,351079.264226,547551.258704,-42110.3506686,608238.325961,-42110.3506686,447377.316757,599612.413042,629698.004738
2048,648413.443863,458011.245021,331076.445792,-43015.9496077,-43015.9496077,635332.751822,632716.613413,624868.198191,355655.638734,-43015.9496077,624238.134374,605544.100306,350173.665287,546645.659765,-43015.9496077,607332.727022,-43015.9496077,446471.717818,598706.814103,628792.405799
2049,647432.378346,457030.179503,330095.380275,-43997.0151251,-43997.0151251,634351.686305,631735.547896,623887.132673,354674.573216,-43997.0151251,623257.068857,604563.034789,349192.599769,545664.594248,-43997.0151251,606351.661505,-43997.0151251,445490.652301,597725.748585,627811.340282
2050,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2051,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2052,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2053,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2054,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2055,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2056,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2057,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2058,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2059,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2060,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2061,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2062,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2063,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2064,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2065,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2066,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2067,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,444585.053362,596820.149646,626905.741342
2068,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,,596820.149646,626905.741342
2069,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,,596820.149646,626905.741342
2070,646526.779407,456124.580564,329189.781336,-44902.6140642,-44902.6140642,633446.087366,630829.948957,622981.533734,353768.974277,-44902.6140642,622351.469918,603657.435849,348287.00083,544758.995309,-44902.6140642,605446.062566,-44902.6140642,,596820.149646,626905.741342
