year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,11277.7656845,7330.5476949
2018,11224.8750487,7296.16878168
2019,11174.0142042,7263.10923273
2020,11109.2714235,7221.02642525
2021,11052.0728799,7183.84737192
2022,10993.2953099,7145.64195145
2023,10931.1734431,7105.26273799
2024,10863.4561545,7061.24650044
2025,10799.6014074,7019.74091483
2026,10736.0948559,6978.46165634
2027,10667.6325908,6933.96118403
2028,10606.2664973,6894.07322322
2029,10515.3280738,6834.96324796
2030,10436.0231609,6783.41505459
2031,10359.5011133,6733.67572365
