year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,697542.19,11277.77,831719.03,936275.15
2018,696108.32,11224.88,831719.03,926252.76
2019,694749.92,11174.01,831719.03,916230.36
2020,693014.19,11109.27,831719.03,904955.18
2021,691429.39,11052.07,831719.03,893679.99
2022,689844.6,10993.3,831719.03,882404.8
2023,688184.33,10931.17,831719.03,871129.61
2024,686297.67,10863.46,831719.03,858601.62
2025,684561.93,10799.6,831719.03,846073.63
2026,682826.2,10736.09,831719.03,834798.44
2027,681015.01,10667.63,831719.03,822270.45
2028,679354.74,10606.27,831719.03,810995.26
2029,676864.34,10515.33,831719.03,793456.08
2030,674675.81,10436.02,831719.03,778422.5
2031,672638.22,10359.5,831719.03,764641.71
2032,670977.95,10297.38,831719.03,752113.72
2033,669619.55,10247.23,831719.03,743344.13
2034,668185.69,10195.65,831719.03,733321.74
2035,666525.42,10135.11,831719.03,722046.55
2036,664865.16,10073.49,831719.03,710771.36
2037,663053.96,10007.83,831719.03,698243.37
2038,661469.16,9946.96,831719.03,686968.18
2039,659733.43,9882.96,831719.03,675692.99
2040,657997.7,9820.66,831719.03,663165.01
