year,Base case cost,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (mary's creek),"Flemming creek, knights island"
2018,1531438.30691,,,,,,,,,,,,,,,,,1475521.96078,,
2019,1785507.30189,,,,,,,,,,,,,,,,,1654924.38621,,
2020,1912719.16886,,,,,,,,,,,,,,,,,1740361.51488,,
2021,1991316.6532,4250823.00695,4870886.76254,7774292.01875,7698999.90044,2521514.2521,2363422.84794,2234471.06717,2151279.12064,13510889.8913,2352838.97104,2559445.81629,3804613.05907,3821524.13144,73017194.0706,2483544.15402,10685515.4116,1790077.62829,3773499.2169,2220130.46043
2022,2055736.89408,4244173.25468,4834017.23448,7622145.75082,7550594.63422,2573791.73727,2418385.94038,2290804.77597,2170594.0939,13251533.1502,2406790.4073,2606714.46622,3791129.22092,3835904.77389,71527614.4521,2532539.07929,10471828.0672,1829417.52913,3796280.02258,2277304.92261
2023,2092080.36504,4217565.98242,4782200.82712,7471597.27383,7403205.95098,2598720.4091,2446025.94771,2320049.2923,2172812.26943,12995451.9823,2433729.84116,2627761.36254,3761503.11473,3826830.7961,70087014.7605,2555211.16713,10262299.1467,1848113.15164,3793644.7534,2307237.47894
2024,2127522.76506,4191292.04318,4731147.92257,7323609.37845,7258322.22222,2622998.98724,2472949.00303,2348529.31673,2174558.62389,12744435.9992,2459958.01097,2648211.43893,3732144.5988,3817791.40484,68678612.3634,2577250.60861,10056671.4007,1866065.7145,3790959.06057,2336394.38455
2025,2163215.71412,4166474.12616,4681971.12813,7179252.55376,7117015.24073,2647773.20953,2500302.41113,2377393.26824,2176974.71691,12499496.9893,2486622.0882,2669209.18465,3704177.90315,3809916.29107,67302783.1528,2599802.73263,9855983.89893,1884423.13437,3789354.62741,2365924.31994
2026,2212356.8995,4152854.05511,4642117.34828,7038580.34141,6979601.94428,2685999.54086,2540997.07162,2419411.84779,2187978.20083,12261074.6341,2526480.21315,2703173.59157,3685405.07,3814549.70827,65950385.266,2635319.54984,9659665.56611,1912744.13791,3801114.85524,2408668.88487
2027,2254159.66877,4134759.00112,4599331.74898,6900326.08479,6844423.73532,2717238.9358,2574666.07686,2454431.1405,2194678.14376,12027181.0948,2559394.29474,2730468.804,3663066.66935,3813632.11727,64632265.206,2664117.70722,9467310.67979,1935691.55681,3806776.30192,2444368.4488
2028,2289425.477,4112963.47555,4554379.45214,6765215.68047,6712207.7246,2742287.37127,2602106.86309,2483249.62027,2197866.63139,11798487.5993,2586161.64504,2751889.63602,3637938.64753,3807944.55026,63348501.9801,2686992.80083,9279615.87501,1954063.39717,3807121.8552,2473821.72921
2029,2328413.3429,4094272.57347,4511771.30959,6630369.44151,6580337.53386,2771163.03802,2633291.9507,2515699.53415,2202523.32207,11572504.5363,2616602.03408,2776916.88909,3614886.21477,3805894.06256,62087067.0709,2713458.59459,9093078.9548,1974479.96541,3811497.58461,2506931.85438
2030,2354618.58771,4067297.33571,4463537.01775,6498808.00219,6451441.771,2787709.24978,2652136.68852,2535909.15067,2200039.91691,11351535.2053,2634859.63597,2790197.1485,3585433.70981,3793704.52585,60863139.7953,2728114.12144,8911583.54673,1985886.30958,3804723.3283,2527721.36009
2031,2401318.42928,4056720.86041,4428638.24631,6371075.92218,6326721.43375,2824609.42744,2691208.11767,2576093.26055,2210509.38209,11137181.9136,2673119.8034,2823072.11792,3569412.35164,3800054.09141,59655369.5471,2762382.31026,8734162.12512,2012468.07528,3817821.97094,2568581.87233
2032,2449069.52028,4048216.70974,4396167.62765,6247258.50393,6205869.74456,2862768.45809,2731483.0959,2617441.59543,2222385.16393,10928815.0431,2712588.22487,2857250.00737,3555408.93696,3808228.86425,58476028.8789,2797923.78416,8561764.27796,2040231.79431,3832675.50208,2610597.37919
2033,2504377.12581,4046552.4125,4369741.81427,6127261.44485,6088924.54073,2908569.0022,2779322.03206,2666244.84242,2239529.10065,10726513.4678,2759548.8844,2898844.31765,3547221.62598,3823799.96093,57320190.3903,2840868.83789,8393972.74635,2073861.9964,3855325.28737,2660094.10583
2034,2559151.18262,4045328.33984,4344095.56969,6009461.60017,5974132.66919,2954033.98381,2826772.66378,2714622.2826,2256478.10718,10528384.891,2806125.72651,2940145.09103,3539422.67768,3839575.61271,56189928.3665,2883492.09263,8229435.9708,2107083.29876,3878112.56652,2709156.2229
2035,2592783.89409,4029055.28713,4307159.34586,5892784.54135,5860027.54561,2978904.18279,2853647.65047,2742599.38447,2260521.76565,10332643.3772,2832360.2491,2961696.50292,3519436.03234,3837678.75065,55096396.0246,2906290.08806,8067945.63557,2124737.99924,3881756.03925,2737703.44016
2036,2646163.32854,4028316.2048,4282653.1062,5778861.09276,5749027.36738,3023356.70222,2899984.01562,2789790.16963,2276729.76366,10142204.9267,2877831.48561,3002065.93347,3512021.96863,3853484.49494,54015137.8782,2947927.44745,7909326.56159,2156805.2812,3904443.96688,2785561.91079
2037,2672107.45898,4007903.93572,4243359.86551,5666175.38996,5638699.82077,3041029.26251,2919585.49304,2810493.71374,2276358.24105,9953957.38279,2896877.27149,3016767.05165,3488768.99053,3846206.38432,52973925.2416,2963805.77584,7754118.01156,2168824.03556,3902111.17978,2806783.65542
2038,2725252.94704,4008723.44559,4221036.88873,5557044.83061,5532411.75287,3085612.29195,2965955.27995,2857648.88565,2292955.62749,9771948.87873,2942390.18952,3057344.35366,3482818.05073,3863136.89641,51940496.9103,3005598.98136,7602238.56768,2200886.82708,3925800.42772,2854590.30853
2039,2764283.07422,3999720.08915,4191477.51726,5449289.22956,5427197.54526,3116491.28552,2998621.28233,2891208.25097,2301008.6169,9592626.71602,2974355.93741,3084791.19973,3468939.46826,3868439.63369,50937725.554,3034204.4304,7453267.30071,2222580.31227,3936865.13644,2888722.69326
2040,2822810.13001,4005916.85981,4173984.997,5343801.74514,5324606.57696,3166685.71647,3050486.33239,2943722.20573,2320946.92443,9417951.58799,3025295.68114,3130785.55403,3467304.10048,3891131.47531,49944724.9758,3081381.17236,7306590.5222,2258425.82578,3966666.58625,2941907.9973
2041,2817306.35245,3966045.66551,4122137.31437,5241921.04419,5224274.60815,3154194.40447,3039856.44325,2934415.88927,2303492.27034,9246339.46832,3014507.43193,3116811.0309,3429263.27028,3859577.77252,49017719.5217,3068404.10416,7167385.96392,2248522.80773,3937479.67819,2932912.35703
2042,2811478.82328,3926656.20592,4071052.0654,5141975.42575,5125841.42346,3141543.11118,3029022.94573,2924874.9432,2285993.9633,9078296.7613,3003519.2859,3102711.28924,3391661.27564,3828310.86322,48111988.0115,3055278.43959,7030991.26607,2238399.14526,3908524.09188,2923674.80568
2043,2805975.04573,3888377.10538,4021351.29544,5044559.45079,5029902.43459,3129375.50143,3018630.52717,2915744.78192,2269092.94162,8914379.72263,2992975.84339,3089129.17911,3355127.74636,3797963.94078,47227671.7442,3042647.57663,6897980.48666,2228699.92499,3880434.32082,2914840.92831
2044,2800147.51656,3850542.42507,3972362.64116,4948973.91696,4935759.26997,3117040.32366,3008028.93454,2906375.86241,2252135.29131,8753851.74423,2982226.76645,3075412.65334,3318997.72548,3767875.5281,46363628.8989,3029860.00315,6767634.40184,2218775.28382,3852550.15751,2905761.34856
2045,2794967.49062,3814105.41566,3925033.07906,4856139.58972,4844333.50642,3105505.17216,2998186.73727,2897737.44748,2236086.00647,8597597.06105,2972240.54154,3062528.52917,3284225.42253,3739003.23315,45520347.9796,3017883.05897,6640854.22408,2209594.17196,3825830.44983,2897405.49198
2046,2790111.21631,3778724.74339,3879015.14831,4765683.41174,4755252.87892,3094442.72054,2988777.56127,2889503.84017,2220615.22151,8445206.94169,2962690.71353,3050148.72142,3250470.44017,3711009.97736,44697033.801,3006389.16917,6517247.80143,2200830.58717,3799939.33005,2889447.82056
2047,2785578.69362,3744383.23844,3834285.69565,4677557.23344,4668470.01162,3083849.47783,2979798.84553,2881673.14073,2205716.96579,8296598.39898,2953574.64232,3038268.99814,3217716.52301,3683882.74628,43893225.9842,2995374.60013,6396748.33744,2192482.33161,3774864.96617,2881886.58976
2048,2781693.67417,3711387.8845,3791145.86144,4592037.78398,4584262.38933,3074045.78645,2971571.84065,2874567.24552,2191709.1601,8152014.14003,2945213.50123,3027208.97805,3186271.54779,3657932.58174,43108798.6787,2985159.45724,6279614.35091,2184871.01049,3750919.55475,2875043.84753
2049,2777484.9031,3678751.0525,3748602.31046,4508107.89012,4501613.57669,3064057.06233,2963122.84944,2867213.08798,2177614.85562,8010403.76834,2936633.51764,3015993.37044,3155148.75751,3632175.81748,42342341.5839,2974768.92502,6164810.88579,2177023.27296,3727120.55722,2867946.67531
