year,Base case diesel consumed,"Mentasta lake (right tributary of slana river) -- slana river, tributary",Carlson creek
2021,105783.640415,87073.8249979,9716.76521628
2022,106299.238987,87589.4235702,10232.3637886
2023,106900.770655,88190.9552379,10833.8954562
2024,107502.302322,88792.4869056,11435.4271239
2025,108103.83399,89394.0185732,12036.9587916
2026,108619.432562,89909.6171455,12552.5573639
2027,109220.96423,90511.1488132,13154.0890315
2028,109650.629707,90940.8142901,13583.7545085
2029,110338.09447,91628.2790532,14271.2192715
2030,110939.626138,92229.8107208,14872.7509392
2031,111541.157805,92831.3423885,15474.2826068
2032,111970.823282,93261.0078654,15903.9480838
2033,112400.488759,93690.6733423,16333.6135607
2034,112744.221141,94034.4057238,16677.3459422
2035,113173.886618,94464.0712007,17107.0114191
2036,113603.552095,94893.7366777,17536.676896
2037,114119.150667,95409.3352499,18052.2754683
2038,114548.816144,95839.0007269,18481.9409452
2039,114892.548525,96182.7331084,18825.6733267
2040,115236.280907,96526.4654899,19169.4057083
2041,115580.013288,96870.1978714,19513.1380898
2042,115923.74567,97213.930253,19856.8704713
2043,116181.544956,97471.7295391,20114.6697575
2044,116525.277338,97815.4619206,20458.402139
2045,116869.009719,98159.1943022,20802.1345205
2046,117126.809005,98416.9935883,21059.9338067
2047,117384.608291,98674.7928744,21317.7330928
2048,117556.474482,98846.6590652,21489.5992836
2049,117814.273768,99104.4583514,21747.3985697
2050,118072.073054,99362.2576375,22005.1978559
