year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2012,,3.82,4.06
2013,,3.73,4.53
2014,,,4.01
2016,start of forecast,1.62,2.57
2017,,1.99,2.94
2018,,2.27,3.22
2019,,2.66,3.61
2020,,2.84,3.79
2021,,2.97,3.92
2022,,3.07,4.02
2023,,3.14,4.09
2024,,3.2,4.15
2025,,3.27,4.22
2026,,3.35,4.3
2027,,3.42,4.37
2028,,3.48,4.43
2029,,3.55,4.5
2030,,3.6,4.55
2031,,3.69,4.64
2032,,3.77,4.72
2033,,3.86,4.81
2034,,3.95,4.9
2035,,4.01,4.96
2036,,4.11,5.06
2037,,4.16,5.11
2038,,4.26,5.21
2039,,4.33,5.28
2040,,4.43,5.38
