year,annotation,diesel generation efficiency
2002,,11.64
2003,,11.41
2004,,12.43
2005,,12.16
2006,,12.31
2007,,12.03
2008,,12.31
2009,,12.72
2010,,12.56
2011,,12.3
2012,,12.15
2013,,11.86
2016,start of forecast,11.64
2017,,11.64
2018,,11.64
2019,,11.64
2020,,11.64
2021,,11.64
2022,,11.64
2023,,11.64
2024,,11.64
2025,,11.64
2026,,11.64
2027,,11.64
2028,,11.64
2029,,11.64
2030,,11.64
2031,,11.64
2032,,11.64
2033,,11.64
2034,,11.64
2035,,11.64
2036,,11.64
2037,,11.64
2038,,11.64
2039,,11.64
2040,,11.64
