year,Base case cost,Modeled non-residential energy efficiency
2017,306790.456293,308307.023728
2018,326048.072854,325020.667008
2019,352871.181635,348673.387808
2020,365938.850016,359768.294189
2021,374879.886276,367109.73119
2022,381757.606477,372583.97778
2023,386572.010617,376190.575568
2024,390698.642737,379186.909147
2025,394825.274858,382201.457492
2026,401015.223038,387120.542053
2027,405829.627178,390799.165318
2028,409956.259298,393865.836285
2029,414770.663439,397577.989596
2030,418209.523539,400048.48863
2031,424399.471719,405050.450929
