year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9464.77102819,6152.10116832
2018,9462.91589572,6150.89533222
2019,9461.01348601,6149.65876591
2020,9459.12505971,6148.43128881
2021,9457.13874953,6147.1401872
2022,9455.62055067,6146.15335794
2023,9454.5511527,6145.45824926
2024,9453.37787797,6144.69562068
2025,9451.78243741,6143.65858432
2026,9449.57239267,6142.22205524
2027,9447.1346181,6140.63750176
2028,9444.86730796,6139.16375017
2029,9442.51210209,6137.63286636
2030,9440.15889386,6136.10328101
2031,9437.73776621,6134.52954803
