year,Base case cost,Modeled water and wastewater efficiency
2017,49573.3877883,39544.5625413
2018,52937.4595341,41668.9075457
2019,57622.1572005,44682.9243932
2020,59904.9156386,46087.8875957
2021,61467.1091334,47012.2910628
2022,62668.6903253,47697.3685303
2023,63509.7492694,48143.1001864
2024,64230.762871,48511.1138727
2025,64951.9592706,48882.2154459
2026,66033.5592369,49498.2596346
2027,66875.0719583,49955.8925461
2028,67596.3736892,50335.3044688
2029,68437.6649203,50797.8232759
2030,69038.8187913,51101.578127
2031,70119.990576,51730.0244539
