year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,78158.0,64932.1623764
2018,78156.0,64930.1623764
2019,78154.0,64928.1623764
2020,78152.0,64926.1623764
2021,78150.0,64924.1623764
2022,78149.0,64923.1623764
2023,78148.0,64922.1623764
2024,78146.0,64920.1623764
2025,78145.0,64919.1623764
2026,78143.0,64917.1623764
2027,79163.0,65937.1623764
2028,79161.0,65935.1623764
2029,79159.0,65933.1623764
2030,79156.0,65930.1623764
2031,79154.0,65928.1623764
2032,79151.0,65925.1623764
2033,79149.0,65923.1623764
2034,80168.0,66942.1623764
2035,80166.0,66940.1623764
2036,80164.0,66938.1623764
