year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,35281.46,9464.77,46140.32,22430.05
2018,35281.46,9462.92,46140.32,22430.05
2019,35281.46,9461.01,46140.32,22430.05
2020,35281.46,9459.13,46140.32,22430.05
2021,35281.46,9457.14,46140.32,22430.05
2022,35189.58,9455.62,46140.32,22430.05
2023,35189.58,9454.55,46140.32,22430.05
2024,35189.58,9453.38,46140.32,22430.05
2025,35189.58,9451.78,46140.32,22430.05
2026,35189.58,9449.57,46140.32,22430.05
2027,35189.58,9447.13,46140.32,23452.6
2028,35097.7,9444.87,46140.32,23452.6
2029,35097.7,9442.51,46140.32,23452.6
2030,35097.7,9440.16,46140.32,23452.6
2031,35005.82,9437.74,46140.32,23452.6
2032,35005.82,9434.93,46140.32,23452.6
2033,35005.82,9432.53,46140.32,23452.6
2034,35005.82,9430.15,46140.32,24475.14
2035,34913.95,9427.68,46140.32,24475.14
2036,34913.95,9425.79,46140.32,24475.14
2037,34913.95,9423.56,46140.32,24475.14
2038,34913.95,9421.52,46140.32,24475.14
2039,34822.07,9418.84,46140.32,24475.14
2040,34822.07,9416.38,46140.32,24475.14
