year,Base case cost,Modeled biomass for heat (pellet)
2017,278304.396322,290760.537006
2018,300180.954738,308559.301333
2019,330653.333153,333507.822262
2020,345493.751569,345478.123702
2021,355644.409985,353560.587459
2022,363454.759192,359707.692975
2023,368920.4684,363914.917837
2024,373599.786816,367475.807368
2025,378283.706024,371048.912036
2026,385306.894439,376571.946665
2027,395877.712477,385914.38927
2028,400617.370893,389565.022041
2029,406148.379309,393881.671637
2030,410090.786932,396881.000091
2031,417204.285348,402528.99022
2032,424312.062971,408177.709157
2033,430633.261387,413178.405699
2034,444194.228633,425160.505136
2035,448993.107048,428915.555905
2036,456196.665464,434684.37742
