year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,78158.0,66134.5112513
2018,78156.0,66132.5112513
2019,78154.0,66130.5112513
2020,78152.0,66128.5112513
2021,78150.0,66126.5112513
2022,78149.0,66125.5112513
2023,78148.0,66124.5112513
2024,78146.0,66122.5112513
2025,78145.0,66121.5112513
2026,78143.0,66119.5112513
2027,79163.0,67139.5112513
2028,79161.0,67137.5112513
2029,79159.0,67135.5112513
2030,79156.0,67132.5112513
2031,79154.0,67130.5112513
2032,79151.0,67127.5112513
2033,79149.0,67125.5112513
2034,80168.0,68144.5112513
2035,80166.0,68142.5112513
2036,80164.0,68140.5112513
