year,Base case cost,Modeled water and wastewater efficiency
2017,63783.6002062,35875.2402345
2018,67263.9989332,37606.7685986
2019,72028.4008403,40010.4780513
2020,74301.957113,41115.2261367
2021,75903.61638,41870.8720475
2022,77117.7608247,42425.8919356
2023,78002.6042751,42810.6635877
2024,78742.7590324,43121.5624747
2025,79598.5521544,43494.4734097
2026,80642.3541061,43967.1429815
2027,81535.1687503,44362.5716536
2028,82287.1946758,44686.0456473
2029,83273.7324314,45133.3560383
2030,83901.1015847,45394.6644223
2031,84970.5147743,45888.0711177
