year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,246025.48,5190.25,44557.91,28703.67
2018,246783.88,5194.15,44557.91,29672.66
2019,247542.28,5198.17,44557.91,30641.65
2020,248376.52,5202.26,44557.91,31610.64
2021,249210.76,5206.42,44557.91,32579.63
2022,250045.0,5210.64,44557.91,33548.62
2023,250879.25,5214.94,44557.91,33548.62
2024,251713.49,5219.28,44557.91,34517.61
2025,252623.57,5223.64,44557.91,35486.6
2026,253457.81,5227.99,44557.91,36455.58
2027,254292.05,5232.34,44557.91,37424.57
2028,255126.3,5236.7,44557.91,38393.56
2029,256036.38,5241.15,44557.91,39362.55
2030,256870.62,5245.62,44557.91,40331.54
2031,257780.7,5250.12,44557.91,41300.53
2032,258690.78,5254.64,44557.91,42269.52
2033,259600.86,5259.21,44557.91,43238.51
2034,260510.95,5263.86,44557.91,44207.5
2035,261421.03,5268.6,44557.91,45176.49
2036,262406.95,5273.47,44557.91,46145.48
2037,263392.87,5278.46,44557.91,47114.47
2038,264378.79,5283.55,44557.91,48083.45
2039,265364.72,5288.73,44557.91,49052.44
2040,266426.48,5294.01,44557.91,50021.43
