year,Base case cost,Modeled non-residential energy efficiency
2017,357551.034077,373759.815796
2018,377790.088385,390887.621972
2019,405576.940389,414910.307151
2020,418572.543681,425509.343086
2021,427565.988114,432496.943661
2022,434246.397769,437408.73162
2023,438963.77133,440562.383155
2024,442813.756848,442953.773338
2025,447333.305066,445980.166176
2026,452948.501336,450028.485236
2027,457665.874897,453285.032001
2028,461546.295083,455804.586781
2029,466781.058002,459579.610731
2030,469900.611485,461453.919676
2031,475591.894426,465689.839854
