year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,53604.0,44334.9828791
2018,53604.0,44334.9828791
2019,53605.0,44335.9828791
2020,53606.0,44336.9828791
2021,53606.0,44336.9828791
2022,53607.0,44337.9828791
2023,53608.0,44338.9828791
2024,53608.0,44338.9828791
2025,52587.0,43317.9828791
2026,52587.0,43317.9828791
2027,52588.0,43318.9828791
2028,52588.0,43318.9828791
2029,52588.0,43318.9828791
2030,52588.0,43318.9828791
2031,52588.0,43318.9828791
2032,52588.0,43318.9828791
2033,52589.0,43319.9828791
2034,52589.0,43319.9828791
2035,52589.0,43319.9828791
2036,52589.0,43319.9828791
