year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,9769.79,35569.99,8264.38
2018,,9770.47,35569.99,8264.38
2019,,9771.1,35569.99,8264.38
2020,,9771.69,35569.99,8264.38
2021,,9772.33,35569.99,8264.38
2022,,9772.95,35569.99,8264.38
2023,,9773.69,35569.99,8264.38
2024,,9774.38,35569.99,8264.38
2025,,9774.92,35569.99,7241.84
2026,,9775.23,35569.99,7241.84
2027,,9775.54,35569.99,7241.84
2028,,9775.66,35569.99,7241.84
2029,,9775.9,35569.99,7241.84
2030,,9776.11,35569.99,7241.84
2031,,9776.32,35569.99,7241.84
2032,,9776.39,35569.99,7241.84
2033,,9776.53,35569.99,7241.84
2034,,9776.72,35569.99,7241.84
2035,,9776.81,35569.99,7241.84
2036,,9776.93,35569.99,7241.84
2037,,9777.06,35569.99,7241.84
2038,,9777.22,35569.99,7241.84
2039,,9777.35,35569.99,7241.84
2040,,9777.45,35569.99,7241.84
