year,Base case cost,Modeled diesel efficiency
2019,270208.225757,418803.899515
2020,282281.359248,425721.036574
2021,290905.026027,429597.414395
2022,296654.137214,430953.450158
2023,301253.426163,431354.906338
2024,304702.892875,430799.656455
2025,308727.270705,430853.563893
2026,313901.470773,432037.247645
2027,317925.848603,432258.141563
2028,321375.315315,432036.958312
2029,325974.604264,432939.749385
2030,328849.159857,432351.437911
2031,333448.448806,433406.102186
2032,338622.648874,435056.690432
2033,343796.848942,436778.838654
2034,348971.049009,438570.869886
2035,352420.515721,438863.206583
2036,357594.715789,440790.128286
2037,361044.182501,441214.194003
2038,366218.382568,443269.757339
