year,Base case cost,Allakaket (unnamed stream nw) -- unnamed creek,Alatna/ allakaket (unnamed creek 2.5 mi s of) -- unnamed creek
2021,290905.026027,822371.855604,444695.191805
2022,296654.137214,814212.541679,444664.633471
2023,301253.426163,805549.029388,443867.258545
2024,304702.892875,796374.671847,442300.661868
2025,308727.270705,787864.600311,441266.622233
2026,313901.470773,780406.350836,441197.555424
2027,317925.848603,772418.23968,440352.385816
2028,321375.315315,764288.095698,439163.635142
2029,325974.604264,757191.638121,438933.294953
2030,328849.159857,749153.734051,437485.734203
2031,333448.448806,742531.996313,437427.170171
2032,338622.648874,736533.180241,437886.195603
2033,343796.848942,730758.043792,438426.158933
2034,348971.049009,725201.345157,439045.163427
2035,352420.515721,718676.343502,438437.229395
2036,357594.715789,713541.28069,439208.801732
2037,361044.182501,707428.032907,438749.859785
2038,366218.382568,702695.073519,439666.932217
2039,370242.760399,697368.378334,439784.789166
2040,375416.960466,693018.895147,440840.621479
2041,375416.960466,685309.57374,438051.023263
2042,375416.960466,677780.939372,435326.80619
2043,375416.960466,670428.757772,432666.438098
2044,375416.960466,663248.892863,430068.422361
2045,375416.960466,656237.306168,427531.297664
2046,375416.960466,649390.053239,425053.63672
2047,375416.960466,642703.283061,422634.046048
2048,375416.960466,636173.233886,420271.16447
2049,375416.960466,629796.232642,417963.662894
2050,375416.960466,623568.692546,415710.243452
