year,Base case cost,Modeled biomass for heat (cordwood)
2017,1702347.88498,1835001.32615
2018,1830749.81043,1949333.56322
2019,2016028.10414,2116117.8008
2020,2098536.01814,2188965.74208
2021,2146471.20488,2229614.1068
2022,2188689.00293,2265986.63567
2023,2218059.22988,2290755.23652
2024,2251985.31614,2320624.41744
2025,2271030.52988,2335190.13591
2026,2305756.94098,2364941.88513
2027,2335480.82316,2390197.03776
2028,2348990.51809,2399814.55879
2029,2371030.83757,2417178.36945
2030,2380281.44005,2422971.36955
2031,2404420.99762,2442258.78958
2032,2429169.90779,2462102.22503
2033,2452659.92045,2480811.52095
2034,2466545.28936,2489753.79679
2035,2466544.68037,2486132.12953
2036,2492092.28158,2506677.89402
