year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,383848.0,348059.595433
2018,383849.0,348060.595433
2019,385551.0,349762.595433
2020,385551.0,349762.595433
2021,383850.0,348061.595433
2022,383849.0,348060.595433
2023,383850.0,348061.595433
2024,385551.0,349762.595433
2025,383850.0,348061.595433
2026,383848.0,348059.595433
2027,383844.0,348055.595433
2028,382139.0,346350.595433
2029,380433.0,344644.595433
2030,378727.0,342938.595433
2031,377019.0,341230.595433
2032,375309.0,339520.595433
2033,373599.0,337810.595433
2034,370188.0,334399.595433
2035,366775.0,330986.595433
2036,365064.0,329275.595433
