year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,32670.06,609089.97,1075919.86,41205.92,2585912.67,505746.56
2018,35137.25,655029.71,1155913.32,42897.68,2691834.42,526462.48
2019,38526.57,718136.77,1274803.21,45221.48,2837338.29,558366.49
2020,40104.41,747527.22,1326343.91,46302.82,2905102.88,571702.04
2021,41199.67,767990.66,1352608.74,47051.76,2952284.77,577400.73
2022,42008.76,783097.9,1378914.51,47605.31,2987117.03,584213.14
2023,42573.88,793604.29,1397208.98,47993.14,3011341.29,588950.87
2024,43036.46,802187.95,1422199.97,48310.99,3031132.35,596503.67
2025,43589.83,812557.01,1430210.77,48688.66,3055039.95,597497.34
2026,44244.83,824986.15,1451853.24,49131.84,3083697.4,603102.1
2027,44794.71,835629.89,1470386.85,49498.82,3108238.32,607901.75
2028,45226.35,844213.54,1474768.28,49781.47,3128029.38,607972.61
2029,45829.44,855955.99,1484359.13,50182.85,3155103.55,609402.11
2030,46180.56,863166.26,1485935.78,50407.72,3171728.04,608760.18
2031,46816.81,875870.08,1496627.4,50824.35,3201018.81,610493.56
2032,47458.87,888917.24,1507580.93,51240.02,3231101.22,612305.8
2033,48075.32,901621.05,1517638.92,51635.68,3260391.99,613895.89
2034,48729.85,915080.23,1517189.28,52057.2,3291424.37,611742.31
2035,49114.43,923595.22,1508076.04,52291.66,3311057.1,607346.91
2036,49784.77,937535.08,1518901.71,52721.32,3343197.78,609181.26
2037,50153.14,945844.06,1508590.31,52943.65,3362355.53,604503.13
2038,50800.77,959509.25,1506198.77,53355.91,3393862.89,601922.2
2039,51272.01,969946.98,1510312.22,53645.9,3417928.82,602038.45
2040,51978.2,984916.88,1508796.87,54095.71,3452444.43,599730.23
