year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7366.49557776,4788.22212554
2018,7367.14392329,4788.64355014
2019,7367.93262672,4789.15620737
2020,7368.13425624,4789.28726656
2021,7367.67080525,4788.98602342
2022,7367.43408626,4788.83215607
2023,7367.69563781,4789.00216457
2024,7368.05382037,4789.23498324
2025,7367.56121812,4788.91479178
2026,7365.60349533,4787.64227197
2027,7362.15851864,4785.40303711
2028,7357.52238922,4782.38955299
2029,7353.35537909,4779.68099641
2030,7347.79720624,4776.06818406
2031,7340.98795864,4771.64217312
