year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,20400421
2004,,0,0,0,0,0,21189975
2005,,0,0,0,0,0,22411058
2006,,0,0,0,0,0,22635538
2007,,0,0,0,0,0,21974570
2008,,0,0,0,0,0,22563288
2009,,0,0,0,0,0,21709678
2010,,0,0,0,0,0,21622956
2011,,0,0,0,0,0,20570403
2012,,0,0,0,0,0,19934364
2013,,0,0,0,0,0,20064730
2014,start of forecast,0,0,0,0,0,20779000
2015,,0,0,0,0,0,20779000
2016,,0,0,0,0,0,20780000
2017,,0,0,0,0,0,20780000
2018,,0,0,0,0,0,20780000
2019,,0,0,0,0,0,20780000
2020,,0,0,0,0,0,20780000
2021,,0,0,0,0,0,20780000
2022,,0,0,0,0,0,20780000
2023,,0,0,0,0,0,20780000
2024,,0,0,0,0,0,20780000
2025,,0,0,0,0,0,20780000
2026,,0,0,0,0,0,20780000
2027,,0,0,0,0,0,20779000
2028,,0,0,0,0,0,20778000
2029,,0,0,0,0,0,20777000
2030,,0,0,0,0,0,20776000
2031,,0,0,0,0,0,20775000
2032,,0,0,0,0,0,20773000
2033,,0,0,0,0,0,20771000
2034,,0,0,0,0,0,20769000
2035,,0,0,0,0,0,20767000
2036,,0,0,0,0,0,20765000
2037,,0,0,0,0,0,20763000
2038,,0,0,0,0,0,20761000
2039,,0,0,0,0,0,20758000
2040,,0,0,0,0,0,20756000
