year,annotation,Average Load
2003,,2091.0
2004,,2229.0
2005,,2239.0
2006,,2231.0
2007,,2241.0
2008,,2335.0
2009,,2278.0
2010,,2280.0
2011,,2105.0
2012,,2077.0
2013,,2036.0
2014,start of forecast,2133.0
2015,,2133.0
2016,,2133.0
2017,,2133.0
2018,,2133.0
2019,,2133.0
2020,,2133.0
2021,,2133.0
2022,,2133.0
2023,,2133.0
2024,,2133.0
2025,,2133.0
2026,,2133.0
2027,,2133.0
2028,,2133.0
2029,,2133.0
2030,,2133.0
2031,,2133.0
2032,,2132.0
2033,,2132.0
2034,,2132.0
2035,,2132.0
2036,,2132.0
2037,,2131.0
2038,,2131.0
2039,,2131.0
2040,,2131.0
