year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,18375.4632209,11944.0510936
2018,18442.1813182,11987.4178568
2019,18504.8894171,12028.1781211
2020,18566.0722489,12067.9469618
2021,18626.3463256,12107.1251117
2022,18682.3728735,12143.5423677
2023,18736.2629796,12178.5709368
2024,18788.595792,12212.5872648
2025,18841.5998286,12247.0398886
2026,18894.9588269,12281.7232375
2027,18949.1798747,12316.9669185
2028,19003.4369524,12352.234019
2029,19047.7911359,12381.0642384
2030,19094.4378909,12411.3846291
2031,19144.083137,12443.654039
