year,Base case cost,Modeled non-residential energy efficiency
2017,278133.460609,252735.328763
2018,292627.996803,265183.860817
2019,312490.879736,282453.556598
2020,322690.738539,291079.958107
2021,329132.754625,296352.271562
2022,334501.101364,300674.531874
2023,337722.109407,303084.739461
2024,340943.11745,305506.079144
2025,344164.125493,307938.29004
2026,348458.802884,311342.843392
2027,352216.645601,314276.901323
2028,355437.653644,316740.220827
2029,359195.496361,319694.29068
2030,361879.669731,321696.290067
2031,366174.347122,325150.307775
