year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,48581.6604713,31578.0793063
2018,49363.4548786,32086.2456711
2019,50161.9721609,32605.2819046
2020,50973.334864,33132.6676616
2021,51797.6079733,33668.4451826
2022,52638.9722074,34215.3319348
2023,53498.6189629,34774.1023259
2024,54374.5770201,35343.4750631
2025,55261.9291605,35920.2539543
2026,56158.2492676,36502.8620239
2027,57063.4290325,37091.2288712
2028,57980.5660864,37687.3679562
2029,58921.5960562,38299.0374365
2030,59874.6266384,38918.507315
2031,60841.6507145,39547.0729644
