year,annotation,diesel generation efficiency
2002,,12.46
2003,,12.97
2004,,13.38
2005,,13.57
2006,,13.85
2007,,13.58
2008,,13.59
2009,,13.53
2010,,14.06
2011,,13.5
2012,,13.1
2013,,13.46
2014,,13.69
2015,,13.86
2016,start of forecast,13.67
2017,,13.67
2018,,13.67
2019,,13.67
2020,,13.67
2021,,13.67
2022,,13.67
2023,,13.67
2024,,13.67
2025,,13.67
2026,,13.67
2027,,13.67
2028,,13.67
2029,,13.67
2030,,13.67
2031,,13.67
2032,,13.67
2033,,13.67
2034,,13.67
2035,,13.67
2036,,13.67
2037,,13.67
2038,,13.67
2039,,13.67
2040,,13.67
