year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,212309.24,1374512.71,961575.21,253697.96,961115.48,893988.26
2018,228560.3,1456288.65,1034999.4,269806.64,993684.52,947906.42
2019,249814.25,1566371.65,1131045.83,289721.82,1037527.47,1017479.0
2020,262520.43,1619840.53,1193533.58,303975.14,1058822.62,1063535.08
2021,272463.3,1654438.05,1250329.9,316479.8,1072601.83,1106063.13
2022,281626.51,1682745.1,1304420.02,328624.04,1083875.73,1146677.78
2023,289435.67,1701616.47,1357588.31,339974.69,1091391.66,1187062.61
2024,296893.46,1717342.62,1405240.72,351222.79,1097654.94,1223232.5
2025,304501.63,1733068.76,1457648.86,362698.61,1103918.22,1263018.0
2026,313933.15,1758230.59,1513041.78,375645.45,1113939.46,1304276.65
2027,322417.05,1777101.96,1569100.69,387995.51,1121455.4,1346403.65
2028,330498.04,1792828.1,1623577.97,400163.17,1127718.67,1387436.2
2029,339397.35,1811699.47,1681057.48,413159.78,1135234.61,1430419.39
2030,347281.94,1824280.39,1738764.44,425490.91,1140245.23,1474006.61
2031,357758.16,1849442.21,1802668.43,439985.94,1150266.48,1521144.19
2032,,,1869456.21,,,1570627.97
2033,,,1932680.34,,,1617214.61
2034,,,2004039.19,,,1669594.55
2035,,,2068145.48,,,1717179.82
2036,,,2146119.21,,,1774295.86
