year,annotation,Average Load
2003,,265.0
2004,,263.0
2005,,263.0
2006,,301.0
2007,,306.0
2008,,306.0
2009,,306.0
2010,,328.0
2011,,340.0
2012,,372.0
2013,,359.0
2014,,350.0
2015,,354.0
2016,start of forecast,368.0
2017,,373.0
2018,,377.0
2019,,382.0
2020,,387.0
2021,,392.0
2022,,398.0
2023,,403.0
2024,,408.0
2025,,414.0
2026,,419.0
2027,,425.0
2028,,430.0
2029,,436.0
2030,,442.0
2031,,448.0
2032,,454.0
2033,,460.0
2034,,466.0
2035,,473.0
2036,,479.0
2037,,486.0
2038,,493.0
2039,,500.0
2040,,507.0
