year,Base case cost,Modeled water and wastewater efficiency
2017,52356.6430312,39332.3188972
2018,55786.9992406,41652.5199606
2019,60503.7845201,44842.5612934
2020,62754.9675048,46366.1807781
2021,64255.7761684,47381.3830061
2022,65434.9855114,48179.0635162
2023,66185.3815245,48688.7841681
2024,66828.5933285,49123.7950406
2025,67686.2093342,49703.8825892
2026,68651.0275029,50356.2345613
2027,69401.4429729,50863.9610242
2028,70044.6575639,51299.2071542
2029,71009.4787104,51951.805166
2030,71545.4989778,52315.0684792
2031,72510.3222833,52967.6002676
