year,Base case cost,Modeled water and wastewater efficiency
2017,61847.6295657,48171.0353523
2018,65919.8399444,50938.9084165
2019,71523.2954224,54784.5386674
2020,74320.4338235,56661.083036
2021,76222.5519817,57910.9674764
2022,77610.4888812,58801.6088512
2023,78611.1507779,59422.0862423
2024,79359.6368633,59867.4209593
2025,80365.6812597,60495.604409
2026,81503.192291,61218.0557224
2027,82511.1861122,61851.2777534
2028,83390.0802867,62395.5313684
2029,84544.1595916,63135.2366187
2030,85184.0138311,63515.3132307
2031,86455.1593894,64340.3079431
