year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,,,,,,
2004,,,,,,,
2005,,0.0,0.0,0.0,0.0,0.0,18241.0
2006,,0.0,0.0,0.0,0.0,0.0,295441.0
2007,,0.0,0.0,0.0,0.0,0.0,200376.0
2008,,0.0,0.0,0.0,0.0,0.0,73081.0
2009,,0.0,0.0,0.0,0.0,0.0,0.0
2010,,0.0,0.0,0.0,0.0,0.0,0.0
2011,,0.0,0.0,0.0,0.0,0.0,0.0
2012,,0.0,0.0,0.0,0.0,0.0,395271.0
2013,,0.0,0.0,0.0,0.0,0.0,399550.0
2014,start of forecast,0.0,0.0,0.0,0.0,0.0,297000.0
2015,,0.0,0.0,0.0,0.0,0.0,295000.0
2016,,0.0,0.0,0.0,0.0,0.0,294000.0
2017,,0.0,0.0,0.0,0.0,0.0,293000.0
2018,,0.0,0.0,0.0,0.0,0.0,292000.0
2019,,0.0,0.0,0.0,0.0,0.0,291000.0
2020,,0.0,0.0,0.0,0.0,0.0,290000.0
2021,,0.0,0.0,0.0,0.0,0.0,289000.0
2022,,0.0,0.0,0.0,0.0,0.0,288000.0
2023,,0.0,0.0,0.0,0.0,0.0,286000.0
2024,,0.0,0.0,0.0,0.0,0.0,284000.0
2025,,0.0,0.0,0.0,0.0,0.0,283000.0
2026,,0.0,0.0,0.0,0.0,0.0,282000.0
2027,,0.0,0.0,0.0,0.0,0.0,281000.0
2028,,0.0,0.0,0.0,0.0,0.0,280000.0
2029,,0.0,0.0,0.0,0.0,0.0,280000.0
2030,,0.0,0.0,0.0,0.0,0.0,281000.0
2031,,0.0,0.0,0.0,0.0,0.0,280000.0
2032,,0.0,0.0,0.0,0.0,0.0,279000.0
2033,,0.0,0.0,0.0,0.0,0.0,277000.0
2034,,0.0,0.0,0.0,0.0,0.0,275000.0
2035,,0.0,0.0,0.0,0.0,0.0,274000.0
2036,,0.0,0.0,0.0,0.0,0.0,274000.0
2037,,0.0,0.0,0.0,0.0,0.0,273000.0
2038,,0.0,0.0,0.0,0.0,0.0,273000.0
2039,,0.0,0.0,0.0,0.0,0.0,272000.0
2040,,0.0,0.0,0.0,0.0,0.0,271000.0
