year,Base case cost,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2"
2021,81883.3333333,407980.997601,1120849.78204,429527.506725
2022,84240.0,399308.840679,1095510.17554,420822.09526
2023,85561.6666667,390570.950649,1070887.22874,411999.22758
2024,86383.3333333,382038.633986,1047101.0954,403349.222417
2025,87965.8333333,373931.531682,1023791.87769,395168.174802
2026,89770.0,365965.394446,1000810.27815,387152.56148
2027,91325.0,358183.608096,978477.679931,379307.351077
2028,92633.3333333,350584.587203,956784.955844,371630.836335
2029,94733.3333333,343425.070999,935552.899087,364437.076147
2030,96242.5,336873.871751,915800.290837,357779.889308
2031,98233.3333333,329666.871773,894970.247313,350567.360589
2032,100207.5,322598.029009,874564.16821,343497.606058
2033,101797.5,315296.214807,854204.22633,336199.388854
2034,103354.166667,308108.718849,834231.169715,329019.892983
2035,104576.666667,301508.851387,815540.500895,322374.886857
2036,107088.333333,295302.156477,796931.503918,316203.837252
2037,108062.5,288991.479851,779186.674144,309837.175558
2038,110565.0,283047.417832,761342.056115,303936.864127
2039,111973.333333,276917.934316,743982.685402,297797.603287
2040,114271.666667,270769.712494,726269.549707,291720.008068
2041,113850.0,265136.973281,711017.092441,285931.870449
2042,113850.0,260048.035246,696533.898496,280691.17616
2043,113850.0,255078.36915,682390.154276,275573.310595
2044,113850.0,250225.179637,668577.904157,270575.395039
2045,113850.0,245485.73676,655089.378669,265694.618135
2046,113428.333333,240435.707905,641495.323822,260506.567771
2047,113428.333333,235915.822973,628631.663538,255851.896209
2048,113428.333333,231501.872807,616069.495185,251306.318472
2049,113428.333333,227191.374611,603801.752693,246867.277729
2050,112585.0,222138.570388,590978.202094,241688.943674
2051,112585.0,218027.758978,579278.771185,237455.544536
2052,112585.0,214013.294693,567853.545642,233321.365675
2053,112585.0,210092.919447,556696.098913,229284.081663
2054,112585.0,206264.42797,545800.154769,225341.421469
2055,112585.0,202525.666765,535159.584323,221491.167375
2056,112585.0,198874.532777,524768.402251,217731.153614
2057,112585.0,195308.972231,514620.763478,214059.265164
2058,112585.0,191826.979542,504710.96008,210473.436633
2059,112585.0,188426.596032,495033.417627,206971.650931
2060,112585.0,185105.908999,485582.692543,203551.93832
2061,112585.0,181863.050595,476353.468904,200212.375252
2062,112585.0,178696.196658,467340.555121,196951.083166
2063,112585.0,175603.56587,458538.881528,193766.227622
2064,112585.0,172583.418624,449943.497184,190656.017138
2065,112585.0,169634.056105,441549.567236,187618.70224
2066,112585.0,166753.819203,433352.369828,184652.57434
2067,112585.0,163941.087906,425347.294385,181755.965117
2068,112585.0,161194.279976,417529.837833,178927.245149
2069,112585.0,158511.850385,409895.602998,176164.823334
2070,112585.0,155892.290227,402440.295516,173467.145771
