year,Base case diesel consumed,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2"
2021,24083.3333333,0.0,0.0,0.0
2022,24000.0,-83.3333333333,-83.3333333333,-83.3333333333
2023,23833.3333333,-250.0,-250.0,-250.0
2024,23666.6666667,-416.666666667,-416.666666667,-416.666666667
2025,23583.3333333,-500.0,-500.0,-500.0
2026,23500.0,-583.333333333,-583.333333333,-583.333333333
2027,23416.6666667,-666.666666667,-666.666666667,-666.666666667
2028,23333.3333333,-750.0,-750.0,-750.0
2029,23333.3333333,-750.0,-750.0,-750.0
2030,23416.6666667,-666.666666667,-666.666666667,-666.666666667
2031,23333.3333333,-750.0,-750.0,-750.0
2032,23250.0,-833.333333333,-833.333333333,-833.333333333
2033,23083.3333333,-1000.0,-1000.0,-1000.0
2034,22916.6666667,-1166.66666667,-1166.66666667,-1166.66666667
2035,22833.3333333,-1250.0,-1250.0,-1250.0
2036,22833.3333333,-1250.0,-1250.0,-1250.0
2037,22750.0,-1333.33333333,-1333.33333333,-1333.33333333
2038,22750.0,-1333.33333333,-1333.33333333,-1333.33333333
2039,22666.6666667,-1416.66666667,-1416.66666667,-1416.66666667
2040,22583.3333333,-1500.0,-1500.0,-1500.0
2041,22500.0,-1583.33333333,-1583.33333333,-1583.33333333
2042,22500.0,-1583.33333333,-1583.33333333,-1583.33333333
2043,22500.0,-1583.33333333,-1583.33333333,-1583.33333333
2044,22500.0,-1583.33333333,-1583.33333333,-1583.33333333
2045,22500.0,-1583.33333333,-1583.33333333,-1583.33333333
2046,22416.6666667,-1666.66666667,-1666.66666667,-1666.66666667
2047,22416.6666667,-1666.66666667,-1666.66666667,-1666.66666667
2048,22416.6666667,-1666.66666667,-1666.66666667,-1666.66666667
2049,22416.6666667,-1666.66666667,-1666.66666667,-1666.66666667
2050,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2051,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2052,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2053,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2054,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2055,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2056,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2057,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2058,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2059,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2060,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2061,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2062,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2063,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2064,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2065,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2066,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2067,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2068,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2069,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
2070,22250.0,-1833.33333333,-1833.33333333,-1833.33333333
