year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,24416.67,6068.93,56627.73,9493.6
2018,24333.33,6068.42,56627.73,9493.6
2019,24250.0,6068.05,56627.73,9493.6
2020,24166.67,6067.64,56627.73,9493.6
2021,24083.33,6067.11,56627.73,9493.6
2022,24000.0,6066.38,56627.73,8963.53
2023,23833.33,6065.42,56627.73,8963.53
2024,23666.67,6064.61,56627.73,8963.53
2025,23583.33,6063.96,56627.73,8963.53
2026,23500.0,6063.52,56627.73,8963.53
2027,23416.67,6063.0,56627.73,8433.45
2028,23333.33,6062.39,56627.73,8433.45
2029,23333.33,6062.78,56627.73,8433.45
2030,23416.67,6062.93,56627.73,8433.45
2031,23333.33,6062.83,56627.73,8433.45
2032,23250.0,6062.05,56627.73,8433.45
2033,23083.33,6061.12,56627.73,8433.45
2034,22916.67,6060.26,56627.73,8433.45
2035,22833.33,6059.64,56627.73,7903.37
2036,22833.33,6059.36,56627.73,7903.37
2037,22750.0,6059.08,56627.73,7903.37
2038,22750.0,6059.03,56627.73,7903.37
2039,22666.67,6058.72,56627.73,7903.37
2040,22583.33,6058.24,56627.73,7903.37
