year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6068.92541383,3944.80151899
2018,6068.42132836,3944.47386343
2019,6068.0486187,3944.23160216
2020,6067.63552883,3943.96309374
2021,6067.10686294,3943.61946091
2022,6066.37641607,3943.14467045
2023,6065.41511074,3942.51982198
2024,6064.60798683,3941.99519144
2025,6063.9564989,3941.57172428
2026,6063.52301876,3941.28996219
2027,6062.99522025,3940.94689316
2028,6062.39418757,3940.55622192
2029,6062.78292387,3940.80890052
2030,6062.93322208,3940.90659435
2031,6062.82917563,3940.83896416
