year,Base case diesel consumed,"Hughes (creek northwest) -- unnamed creek, northwest of hughes","Hughes -- unnamed creek, west of hughes"
2021,41142.3688945,34851.8305087,35795.4112665
2022,41142.3688945,34851.8305087,35795.4112665
2023,41142.3688945,34851.8305087,35795.4112665
2024,41142.3688945,34851.8305087,35795.4112665
2025,41242.2290132,34951.6906273,35895.2713852
2026,41342.0891318,35051.550746,35995.1315039
2027,41441.9492505,35151.4108647,36094.9916226
2028,41541.8093692,35251.2709834,36194.8517412
2029,41641.6694879,35351.1311021,36294.7118599
2030,41741.5296065,35450.9912207,36394.5719786
2031,41841.3897252,35550.8513394,36494.4320973
2032,41941.2498439,35650.7114581,36594.292216
2033,42140.9700812,35850.4316954,36794.0124533
2034,42240.8301999,35950.2918141,36893.872572
2035,42340.6903186,36050.1519328,36993.7326907
2036,42340.6903186,36050.1519328,36993.7326907
2037,42440.5504373,36150.0120515,37093.5928093
2038,42540.4105559,36249.8721701,37193.452928
2039,42640.2706746,36349.7322888,37293.3130467
2040,42740.1307933,36449.5924075,37393.1731654
2041,42740.1307933,36449.5924075,37393.1731654
2042,42839.990912,36549.4525262,37493.033284
2043,42839.990912,36549.4525262,37493.033284
2044,42839.990912,36549.4525262,37493.033284
2045,42839.990912,36549.4525262,37493.033284
2046,42839.990912,36549.4525262,37493.033284
2047,42839.990912,36549.4525262,37493.033284
2048,42740.1307933,36449.5924075,37393.1731654
2049,42640.2706746,36349.7322888,37293.3130467
2050,42540.4105559,36249.8721701,37193.452928
