year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9275.85650488,6029.30672817
2018,9276.0122476,6029.40796094
2019,9276.14619889,6029.49502928
2020,9276.31024185,6029.6016572
2021,9276.46239493,6029.7005567
2022,9276.53896521,6029.75032739
2023,9276.54984091,6029.75739659
2024,9276.5332538,6029.74661497
2025,9276.60564728,6029.79367073
2026,9276.78733156,6029.91176551
2027,9277.00327096,6030.05212613
2028,9277.23489006,6030.20267854
2029,9277.39789215,6030.3086299
2030,9277.64182815,6030.4671883
2031,9277.86349232,6030.61127001
