year,Base case cost,Modeled water and wastewater efficiency
2017,64941.855944,47939.9606451
2018,72672.3957797,53298.7368993
2019,83194.2740923,60632.8931729
2020,87919.7498551,63872.5793581
2021,91142.3006108,66052.3573276
2022,93505.1606641,67626.8161996
2023,95223.061576,68747.6707603
2024,96511.1664946,69566.9387686
2025,98229.894948,70692.6940699
2026,100164.884884,71973.3744195
2027,101670.994249,72952.9574149
2028,103177.428861,73934.7595504
2029,104897.734121,75069.6788346
2030,105975.046815,75752.0202063
2031,108125.939036,77195.0246815
