year,Base case diesel consumed,Modeled residential energy efficiency
2017,9688.44777692,9688.44777692
2018,9688.44777692,9688.44777692
2019,9688.44777692,9688.44777692
2020,9688.44777692,9688.44777692
2021,9688.44777692,9688.44777692
2022,9688.44777692,9688.44777692
2023,9688.44777692,9688.44777692
2024,9688.44777692,9688.44777692
2025,9688.44777692,9688.44777692
2026,9688.44777692,9688.44777692
2027,9688.44777692,9688.44777692
2028,9688.44777692,9688.44777692
2029,9688.44777692,9688.44777692
2030,9688.44777692,9688.44777692
2031,9688.44777692,9688.44777692
